"model","context_k_tokens","depth_pct","passed","answer","latency_s","error"
"qwen3.6-35b-iq4xs","8","10","False","","9.11","InternalServerError(""Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}"")"
"qwen3.6-35b-iq4xs","8","50","False","","1.32","InternalServerError(""Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}"")"
"qwen3.6-35b-iq4xs","8","90","False","","1.37","InternalServerError(""Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}"")"
"qwen3.6-35b-iq4xs","32","10","False","","1.26","InternalServerError(""Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}"")"
"qwen3.6-35b-iq4xs","32","50","False","","1.19","InternalServerError(""Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}"")"
"qwen3.6-35b-iq4xs","32","90","True","VIOLET-7734","39.11",""
"qwen3.6-35b-iq4xs","64","10","True","VIOLET-7734","291.95",""
"qwen3.6-35b-iq4xs","64","50","True","VIOLET-7734","49.6",""
"qwen3.6-35b-iq4xs","64","90","True","VIOLET-7734","61.78",""
"qwen3.6-35b-iq4xs","96","10","True","VIOLET-7734","133.98",""
"qwen3.6-35b-iq4xs","96","50","True","VIOLET-7734","79.94",""
"qwen3.6-35b-iq4xs","96","90","True","VIOLET-7734","79.8",""
"qwen3.6-35b-iq3xxs","8","10","True","VIOLET-7734","124.03",""
"qwen3.6-35b-iq3xxs","8","50","True","VIOLET-7734","79.98",""
"qwen3.6-35b-iq3xxs","8","90","True","VIOLET-7734","79.85",""
"qwen3.6-35b-iq3xxs","32","10","True","VIOLET-7734","40.72",""
"qwen3.6-35b-iq3xxs","32","50","True","VIOLET-7734","39.34",""
"qwen3.6-35b-iq3xxs","32","90","True","VIOLET-7734","12.05",""
"qwen3.6-35b-iq3xxs","64","10","True","VIOLET-7734","2.51",""
"qwen3.6-35b-iq3xxs","64","50","True","VIOLET-7734","48.94",""
"qwen3.6-35b-iq3xxs","64","90","True","VIOLET-7734","49.88",""
"qwen3.6-35b-iq3xxs","96","10","True","VIOLET-7734","3.5",""
"qwen3.6-35b-iq3xxs","96","50","True","VIOLET-7734","72.98",""
"qwen3.6-35b-iq3xxs","96","90","True","VIOLET-7734","74.27",""
"qwen3.5-122b-iq2xxs","8","10","True","VIOLET-7734","4.67",""
"qwen3.5-122b-iq2xxs","8","50","True","VIOLET-7734","13.95",""
"qwen3.5-122b-iq2xxs","8","90","True","VIOLET-7734","47.19",""
"qwen3.5-122b-iq2xxs","32","10","True","VIOLET-7734","6.87",""
"qwen3.5-122b-iq2xxs","32","50","True","VIOLET-7734","197.52",""
