"model","run","prompt_tokens_est","completion_tokens_est","usage_prompt_tokens","usage_completion_tokens","total_seconds","ttft_seconds","tokens_per_second_est","tokens_per_second_usage","chars_per_second","output_chars","error"
"qwen3-8b-q5km","1","1504","986","1527","1000","42.47729370000161","11.309959900001559","31.635686463498473","32.0848747094305","105.96249449855675","4501",""
"qwen3-8b-q5km","2","1504","988","1527","1000","30.885794499998156","0.09503309999854537","32.087546883462664","32.477274173545204","153.98664910498852","4756",""
"qwen3-8b-q5km","3","1504","992","1527","1000","28.98045590000038","0.0730212999987998","34.316431524502896","34.593176940023085","163.4204795239242","4736",""
"qwen3-8b-q8","1","1504","992","1527","1000","132.09025120000297","8.445728300001065","8.022999941552484","8.087701553984358","34.88523913110627","4608",""
"qwen3-8b-q8","2","1504","992","1527","1000","123.71907740000097","0.295295799998712","8.037348938269623","8.102166268416958","38.021622039673915","4704",""
"qwen3-8b-q8","3","1504","994","1527","1000","124.7912127999989","0.29790109999885317","7.9843646733031655","8.03256003350419","35.50730777095259","4431",""
"qwen3coder-30b-iq1s","1","1504","616","1527","617","155.34420359999785","29.124259499996697","4.880369773511842","4.888292451715595","17.554565518401084","2727",""
"qwen3coder-30b-iq1s","2","1504","545","1527","546","109.41625080000085","0.20071529999768245","4.990132562230436","4.999288768766639","22.455530892674133","2457",""
"qwen3coder-30b-iq1s","3","1504","431","1527","432","84.96526979999908","0.19807229999787523","5.0845139713389","5.0963109875137","22.71516355498021","1930",""
"qwen3.6-35b-iq3xxs","1","1504","979","1672","1000","267.07501930000217","34.66256659999999","4.2123388339423125","4.3026954381433224","15.834502272373198","4229",""
"qwen3.6-35b-iq3xxs","2","1504","956","1672","1000","267.96739239999806","0.3454897000010533","3.5722038829970946","3.73661494037353","15.039143247639519","4030",""
"qwen3.6-35b-iq3xxs","3","1504","962","1672","1000","272.47235999999975","0.36323709999851417","3.535346370410118","3.6749962270375445","14.9519753122849","4074",""
"gemma4-26b-iq4xs","1","1504","940","1745","1000","282.81602999999814","29.026597299998684","3.703857918746205","3.940274381644899","13.722701644599232","3881",""
"gemma4-26b-iq4xs","2","1504","942","1745","1000","255.96376410000084","1.3784950000008394","3.700135531525928","3.927957039836442","14.228576504981895","3642",""
"gemma4-26b-iq4xs","3","1504","924","1745","1000","254.81580249999752","1.4022550000008778","3.6462139025933973","3.946118942200646","14.692966304552625","3744",""
"qwen3coder-30b-iq1s","1","1504","638","1527","639","20.532058899996628","2.911252899997635","36.207197332519094","36.26394842551677","140.7067851339777","2889",""
"qwen3coder-30b-iq1s","2","1504","787","1527","792","22.28774990000238","0.08381590000499273","35.444169488167844","35.669354808931296","147.03144169791898","3277",""
"qwen3.6-35b-iq3xxs","1","1504","971","1672","1000","24.16951759999938","4.35667139999714","49.00860735495389","50.472304176059616","170.5040236301657","4121",""
"qwen3.6-35b-iq3xxs","2","1504","974","1672","1000","20.0065700999985","0.12323399999877438","48.98574339343454","50.29337104048721","202.3835160030906","4049",""
"gemma4-26b-iq4xs","1","1504","940","1745","1000","36.05585099999735","4.047922499994456","29.367723687583066","31.242259242109643","107.08386830199304","3861",""
"gemma4-26b-iq4xs","2","1504","950","1745","1000","32.31130600000324","0.24119240000436548","29.62259541232287","31.181679381392495","117.54399528139218","3798",""
"qwen3-8b-q5km","1","1504","750","1527","762","11.744067599996924","0.9498201999958837","1607.6726942705764","69.48145361203484","70.5931568698274","255.4481208879269","3000"
"qwen3-8b-q5km","2","1504","616","1527","623","8.722561000002315","0.07914400000299793","19293.945213056682","71.26811074833583","72.07797564320329","298.9947562418088","2608"
"qwen3-8b-q5km","3","1504","730","1527","737","10.362288500007708","0.08062360000621993","18939.863760514232","71.0001743005546","71.68099788973801","295.7840828305176","3065"
"qwen3-8b-q8","1","1504","612","1527","619","11.57176829999662","0.8123688000050606","1879.6881416303625","56.88049783823717","57.53109176775949","231.1660526421689","2675"
"qwen3-8b-q8","2","1504","842","1527","853","15.086288599995896","0.0974287999997614","15672.983758434259","56.175053422023275","56.90893179214472","231.73360212669874","3496"
