"model","tool_called","tool_name","tool_name_is_file_op","args_valid_json","args_non_empty","latency_s","verdict","error"
"qwen3-8b-q5km","False","","False","False","False","0.29566979999799514","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'http://127.0.0.1:8081/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"")"
"qwen3-8b-q8","False","","False","False","False","0.30358220000198344","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'http://127.0.0.1:8081/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"")"
"qwen3coder-30b-iq1s","False","","False","False","False","60.22791060000236","FAIL","ReadTimeout('timed out')"
"qwen3.6-35b-iq3xxs","False","","False","False","False","60.202973100000236","FAIL","ReadTimeout('timed out')"
"gemma4-26b-iq4xs","False","","False","False","False","60.20275739999852","FAIL","ReadTimeout('timed out')"
"qwen3coder-30b-iq1s","False","","False","False","False","72.8953576999993","FAIL",""
"qwen3.6-35b-iq3xxs","True","Write","True","True","True","89.23300959999324","PASS",""
"gemma4-26b-iq4xs","True","Write","True","True","True","77.39308770000207","PASS",""
"qwen3-8b-q5km","False","","False","False","False","0.5480264000070747","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'http://127.0.0.1:8081/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"")"
"qwen3-8b-q8","False","","False","False","False","0.5022209000017028","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'http://127.0.0.1:8081/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"")"
"qwen3coder-30b-iq1s","False","","False","False","False","159.9373968","FAIL","ReadError('[WinError 10054] An existing connection was forcibly closed by the remote host')"
"qwen3.6-35b-iq3xxs","True","Write","True","True","True","209.07204240000283","PASS",""
"gemma4-26b-iq4xs","True","Write","True","True","True","148.13912219999474","PASS",""
"qwen3.6-35b-iq3xxs","True","Write","True","True","True","242.31655719998525","PASS",""
"qwen3.6-35b-iq3xxs","True","Write","True","True","True","243.08878960000584","PASS",""
"qwen3.6-35b-iq4xs","False","","False","False","False","367.8635805999802","FAIL","ReadError('[WinError 10054] An existing connection was forcibly closed by the remote host')"
"qwen3.6-35b-iq3xxs","True","Write","True","True","True","249.00712419999763","PASS",""
"qwen3.5-122b-iq2xxs","True","Write","True","True","True","11.390768400015077","PASS",""
"qwen3.5-122b-iq2xxs","True","Write","True","True","True","1002.6988262999803","PASS",""
"llama4-scout-iq2xxs","True","Write","True","True","True","907.2398354000179","PASS",""
"llama4-scout-iq2xxs","False","","False","False","False","1800.2023759000003","FAIL","ReadTimeout('timed out')"
"qwen3.6-35b-iq4xs","True","Write","True","True","True","305.9113522999978","PASS",""
"qwen3.5-122b-iq2xxs","True","Write","True","True","True","842.6415942000167","PASS",""
"qwen3.6-35b-iq4xs","False","","False","False","False","187.71947800001362","FAIL","ReadError('[WinError 10054] An existing connection was forcibly closed by the remote host')"
"qwen3.6-35b-iq4xs","True","Write","True","True","True","305.72912299999734","PASS",""
"qwen3.6-35b-iq3s","True","Write","True","True","True","228.04122790001566","PASS",""
"reap-40b-i1-iq3xxs","True","Write","True","True","True","277.6836982999812","PASS",""
"qwen3.6-35b-iq3xxs","False","","False","False","False","125.9692750999966","FAIL","ReadError('[WinError 10054] An existing connection was forcibly closed by the remote host')"
"qwen3.6-35b-iq3xxs","True","Write","True","True","True","204.26643190000323","PASS",""
"qwen3.6-35b-iq3xxs","True","Write","True","True","True","215.14442909999343","PASS",""
"qwen3.6-35b-iq3xxs","True","Write","True","True","True","216.4174442000076","PASS",""
"qwen3.6-35b-iq3xxs","True","Write","True","True","True","214.075751700002","PASS",""
"qwen3.6-35b-iq3xxs","True","Write","True","True","True","212.04390520000015","PASS",""
"qwen3.6-35b-iq3xxs","True","Write","True","True","True","212.19761930000095","PASS",""
qwen3.6-35b-iq3xxs,False,,False,False,False,60.21490750001976,FAIL,ReadTimeout('timed out')
