"model","run","prompt_tokens_est","completion_tokens_est","usage_prompt_tokens","usage_completion_tokens","total_seconds","ttft_seconds","tokens_per_second_est","tokens_per_second_usage","chars_per_second","output_chars","error"
"glm-4.7","1","1504","0","","","0.0","","","","0.0","0","NotFoundError('404 page not found')"
"glm-4.7","2","1504","0","","","0.0","","","","0.0","0","NotFoundError('404 page not found')"
"glm-4.7","3","1504","0","","","0.0","","","","0.0","0","NotFoundError('404 page not found')"
"glm-4.7","4","1504","0","","","0.0","","","","0.0","0","NotFoundError('404 page not found')"
"glm-4.7","5","1504","0","","","0.0","","","","0.0","0","NotFoundError('404 page not found')"
"qwen3-coder-480b-a35b-instruct","1","1504","0","","","0.0","","","","0.0","0","NotFoundError('404 page not found')"
"qwen3-coder-480b-a35b-instruct","2","1504","0","","","0.0","","","","0.0","0","NotFoundError('404 page not found')"
"qwen3-coder-480b-a35b-instruct","3","1504","0","","","0.0","","","","0.0","0","NotFoundError('404 page not found')"
"qwen3-coder-480b-a35b-instruct","4","1504","0","","","0.0","","","","0.0","0","NotFoundError('404 page not found')"
"qwen3-coder-480b-a35b-instruct","5","1504","0","","","0.0","","","","0.0","0","NotFoundError('404 page not found')"
"z-ai/glm4.7","1","1504","0","","","0.0","","","","0.0","0","AuthenticationError(""Error code: 401 - {'status': 401, 'title': 'Unauthorized', 'detail': 'Authentication failed'}"")"
"z-ai/glm4.7","2","1504","0","","","0.0","","","","0.0","0","AuthenticationError(""Error code: 401 - {'status': 401, 'title': 'Unauthorized', 'detail': 'Authentication failed'}"")"
"z-ai/glm4.7","3","1504","0","","","0.0","","","","0.0","0","AuthenticationError(""Error code: 401 - {'status': 401, 'title': 'Unauthorized', 'detail': 'Authentication failed'}"")"
"z-ai/glm4.7","4","1504","0","","","0.0","","","","0.0","0","AuthenticationError(""Error code: 401 - {'status': 401, 'title': 'Unauthorized', 'detail': 'Authentication failed'}"")"
