"model","turn1_tool_called","turn1_tool_name","turn1_tool_name_valid","turn1_args_valid_json","turn1_args_complete","turn2_completed","turn2_response_type","turn1_latency_s","turn2_latency_s","verdict","error"
"mistralai/mistral-nemotron","True","Read","True","True","True","True","text","2.9607195000007778","2.750702000000274","PASS",""
"qwen/qwen3-coder-480b-a35b-instruct","True","Read","True","True","True","True","tool","3.464520800000173","1.657407100000455","PASS",""
"mistralai/devstral-2-123b-instruct-2512","True","Read","True","True","True","True","text","2.7875552999994397","2.9799108000006527","PASS",""
"z-ai/glm4.7","True","Read","True","True","True","True","tool","26.507776600000398","16.023511899999903","PASS",""
"stepfun-ai/step-3.5-flash","True","Read","True","True","True","True","tool","6.5333386000002065","2.687553900000239","PASS",""
"mistralai/mistral-nemotron","True","Read","True","True","True","True","text","1.06139740000026","2.8297969000000194","PASS",""
"mistralai/mistral-nemotron","True","Read","True","True","True","True","text","0.9477863000001889","2.7361097999996673","PASS",""
"qwen/qwen3-coder-480b-a35b-instruct","True","Read","True","True","True","True","tool","9.740569399999913","3.7957375999999385","PASS",""
"z-ai/glm4.7","True","Read","True","True","True","True","tool","11.49420229999987","13.426524599999993","PASS",""
"mistralai/mistral-large-2-instruct","False","","False","False","False","False","error","0.5201041000000259","0.0","FAIL","NotFoundError('Error code: 404 - {\'status\': 404, \'title\': \'Not Found\', \'detail\': ""Function \'7fadd4de-e22a-48e4-90e9-f02ef14a74b9\': Not found for account \'icLiwyfY8sx3meiuDsWbeUD9lULunNre1QaNnxmeC6Y\'""}')"
"stepfun-ai/step-3.5-flash","True","Read","True","True","True","True","tool","1.4447124999996959","107.87150150000025","PASS",""
"mistralai/devstral-small-2505","False","","False","False","False","False","error","0.6046357000004718","0.0","FAIL","NotFoundError('404 page not found')"
"mistralai/devstral-2-123b-instruct-2512","True","Read","True","True","True","True","text","1.8226690999999846","7.875252699999692","PASS",""
