"model","tool_called","tool_name","tool_name_is_file_op","args_valid_json","args_non_empty","latency_s","verdict","error"
"mistralai/mistral-nemotron","False","","False","False","False","1.7633905000002414","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'https://integrate.api.nvidia.com/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
"qwen/qwen3-coder-480b-a35b-instruct","False","","False","False","False","1.0343568000007508","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'https://integrate.api.nvidia.com/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
"mistralai/devstral-2-123b-instruct-2512","False","","False","False","False","3.8590691999997944","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'https://integrate.api.nvidia.com/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
"z-ai/glm4.7","False","","False","False","False","10.091358299999229","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'https://integrate.api.nvidia.com/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
"stepfun-ai/step-3.5-flash","False","","False","False","False","1.7876683999993475","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'https://integrate.api.nvidia.com/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
"mistralai/mistral-nemotron","False","","False","False","False","11.589030099999945","FAIL",""
"qwen/qwen3-coder-480b-a35b-instruct","False","","False","False","False","5.113449800000126","FAIL",""
"mistralai/devstral-2-123b-instruct-2512","False","","False","False","False","10.00120330000027","FAIL",""
"z-ai/glm4.7","True","Write","True","True","True","30.78411060000053","PASS",""
"stepfun-ai/step-3.5-flash","False","","False","False","False","6.171253399999841","FAIL",""
"deepseek-ai/deepseek-v4-pro","True","Write","True","True","True","17.409050500000376","PASS",""
"deepseek-ai/deepseek-v4-flash","False","","False","False","False","49.08729679999851","FAIL",""
"moonshotai/kimi-k2-instruct","False","","False","False","False","4.928599699998813","FAIL",""
"moonshotai/kimi-k2.6","False","","False","False","False","1.7071256000017456","FAIL","HTTPStatusError(""Server error '500 Internal Server Error' for url 'https://integrate.api.nvidia.com/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/"
"qwen/qwen2.5-coder-32b-instruct","False","","False","False","False","2.013478599999871","FAIL","HTTPStatusError(""Client error '400 Bad Request' for url 'https://integrate.api.nvidia.com/v1/chat/completions'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400"
"z-ai/glm-5.1","True","Write","True","True","True","37.713303300000916","PASS",""
"z-ai/glm5","True","Write","True","True","True","11.06516449999981","PASS",""
"mistralai/mistral-large-3-675b-instruct-2512","False","","False","False","False","16.92970559999958","FAIL",""
